title,genre,runtime,year,top200_box,director,mpaa_rating,imdb_rating,critics_rating,audience_rating,imdb_num_votes,critics_score,audience_score,best_pic_nom,best_pic_win,best_actor_win,best_actress_win,best_dir_win
Scandal,Art House & International,115,1989,no,Michael Caton-Jones,R,6.4,Fresh,Upright,3688,91,61,no,no,no,no,no
Imagine: John Lennon,Musical & Performing Arts,100,1988,no,Andrew Solt,R,7.9,Fresh,Upright,3488,92,91,no,no,no,no,no
Locke,Mystery & Suspense,85,2014,no,Steven Knight,R,7.1,Certified Fresh,Upright,82851,91,71,no,no,no,no,no
The Spongebob Squarepants Movie,Animation,87,2004,no,Sherm Cohen,PG,7,Fresh,Upright,56128,68,77,no,no,no,no,no
The Muppet Christmas Carol,Science Fiction & Fantasy,85,1992,no,Brian Henson,G,7.7,Fresh,Upright,33101,69,85,no,no,no,no,no
Die Hard 2,Mystery & Suspense,124,1990,no,Renny Harlin,R,7.1,Fresh,Upright,259822,69,70,no,no,no,no,no
The Reckoning,Documentary,112,2004,no,Pamela Yates,R,6.6,Rotten,Spilled,4908,40,57,no,no,no,no,no
Alice in Wonderland,Action & Adventure,108,2010,no,Tim Burton,PG,6.5,Rotten,Spilled,290356,52,55,no,no,no,no,no
I'm Not There,Drama,135,2007,no,Todd Haynes,R,7,Certified Fresh,Upright,47297,76,70,no,no,no,yes,no
Three Wishes,Drama,115,1995,no,Martha Coolidge,PG,6.1,Rotten,Spilled,2145,13,51,no,no,no,no,no
Aliens,Action & Adventure,137,1986,no,James Cameron,R,8.4,Certified Fresh,Upright,466400,98,94,no,no,no,no,yes
Driving Miss Daisy,Drama,99,1989,no,Bruce Beresford,PG,7.4,Certified Fresh,Upright,69338,81,81,yes,yes,no,yes,no
Max,Drama,106,2002,no,Menno Meyjes,R,6.6,Fresh,Upright,6228,69,64,no,no,no,no,no
Serpico,Drama,130,1973,no,Sidney Lumet,R,7.8,Fresh,Upright,75468,90,88,no,no,yes,no,no
Basic,Drama,98,2003,no,John McTiernan,R,6.5,Rotten,Upright,48519,21,64,no,no,no,no,no
The Guru,Comedy,94,2002,no,Daisy von Scherler Mayer,R,5.4,Rotten,Spilled,13523,57,40,no,no,no,no,no
The Color Purple,Drama,154,1985,no,Steven Spielberg,PG-13,7.8,Fresh,Upright,58668,88,94,yes,no,no,no,yes
The Dream Team,Comedy,113,1989,no,Howard Zieff,PG-13,6.5,Rotten,Upright,9654,54,62,no,no,no,no,no
The Man Without a Face,Drama,115,1993,no,Mel Gibson,PG-13,6.7,Fresh,Upright,22079,67,64,no,no,no,no,yes
The White Countess,Drama,135,2005,no,James Ivory,PG-13,6.7,Rotten,Spilled,5258,50,49,no,no,no,no,no
Viva Knievel!,Drama,106,1977,no,Gordon Douglas,PG,2.7,Rotten,Spilled,761,17,17,no,no,no,no,no
Rising Sun,Drama,125,1993,no,Philip Kaufman,R,6.2,Rotten,Spilled,33839,35,40,no,no,no,no,no
Mojados: Through the Night,Documentary,65,2004,no,Tommy Davis,Unrated,7.3,Fresh,Upright,183,73,88,no,no,no,no,no
Seven Pounds,Drama,123,2008,no,Gabriele Muccino,PG-13,7.7,Rotten,Upright,225130,27,75,no,no,no,no,no
The Mothman Prophecies,Mystery & Suspense,119,2002,no,Mark Pellington,PG-13,6.5,Rotten,Spilled,62241,52,56,no,no,no,no,no
Breaking and Entering,Drama,120,2007,no,Anthony Minghella,R,6.6,Rotten,Spilled,19714,34,52,no,no,no,no,yes
The English Patient,Drama,162,1996,no,Anthony Minghella,R,7.4,Certified Fresh,Upright,137126,84,83,yes,yes,yes,no,yes
Heaven & Earth,Drama,140,1994,no,Oliver Stone,R,6.8,Rotten,Upright,10468,44,72,no,no,no,no,yes
The Last Kiss,Drama,115,2006,no,Tony Goldwyn,R,6.5,Rotten,Spilled,37770,46,59,no,no,no,no,no
Three of Hearts,Drama,102,1993,no,Yurek Bogayevicz,R,5.5,Rotten,Spilled,1628,56,38,no,no,no,no,no
The Tortured,Mystery & Suspense,79,2012,no,Robert Lieberman,R,5.5,Rotten,Spilled,5587,6,35,no,no,no,no,no
The Package,Mystery & Suspense,108,1989,no,Andrew Davis,R,6.4,Fresh,Spilled,6247,64,43,no,no,yes,no,no
"Happy, Texas",Comedy,98,1999,no,Mark Illsley,PG-13,6.3,Certified Fresh,Spilled,8646,81,54,no,no,no,no,no
Then She Found Me,Drama,100,2007,no,Helen Hunt,R,6,Rotten,Spilled,8320,50,44,no,no,yes,yes,no
Promises,Documentary,106,2002,no,B.Z. Goldberg,Unrated,8.5,Certified Fresh,Upright,2362,96,96,no,no,no,no,no
Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers,Documentary,92,2009,no,Judith Ehrlich,Unrated,7.8,Certified Fresh,Upright,1942,96,89,no,no,no,no,no
The Recruit,Mystery & Suspense,115,2003,no,Roger Donaldson,PG-13,6.6,Rotten,Spilled,110238,43,58,no,no,yes,no,no
Alvin and the Chipmunks: Chipwrecked,Animation,87,2011,no,Mike Mitchell (VI),G,4.4,Rotten,Spilled,21501,12,52,no,no,no,no,no
The Thin Blue Line,Documentary,103,1988,no,Errol Morris,Unrated,8.1,Fresh,Upright,14359,100,90,no,no,no,no,no
The Cotton Club,Musical & Performing Arts,127,1984,no,Francis Ford Coppola,R,6.5,Fresh,Spilled,12450,75,55,no,no,no,no,yes
Lord of the Flies,Drama,90,1989,no,Harry Hook,R,6.4,Fresh,Spilled,21704,63,52,no,no,no,no,no
"Same Time, Next Year",Drama,119,1978,no,Robert Mulligan,PG,7.2,Rotten,Upright,4375,40,85,no,no,no,yes,no
Proof of Life,Drama,135,2000,no,Taylor Hackford,R,6.2,Rotten,Spilled,48324,40,43,no,no,yes,no,no
Waking Up in Reno,Comedy,91,2002,no,Jordan Brady,R,5.5,Rotten,Spilled,4768,13,30,no,no,no,yes,no
Silent Fall,Mystery & Suspense,101,1994,no,Bruce Beresford,R,5.9,Rotten,Spilled,2944,24,38,no,no,yes,no,no
Rock 'n' Roll High School,Comedy,93,1979,no,Allan Arkush,PG,6.8,Fresh,Upright,6788,79,75,no,no,no,no,no
Twilight Zone---The Movie,Horror,101,1983,no,Joe Dante,PG,6.5,Fresh,Spilled,24783,65,55,no,no,no,no,no
The Golden Bowl,Drama,130,2000,no,James Ivory,R,6,Rotten,Spilled,3745,54,39,no,no,no,no,no
Rio 2,Animation,101,2014,no,Carlos Saldanha,G,6.4,Rotten,Spilled,54726,48,59,no,no,yes,no,no
Easy,Drama,99,2004,no,Jane Weinstock,R,5.9,Rotten,Spilled,1493,59,47,no,no,no,no,no
Major League: Back to the Minors,Comedy,100,1998,no,John Warren,PG-13,4.4,Rotten,Spilled,5616,21,24,no,no,no,no,no
The Wedding Banquet (Xi yan),Drama,106,1993,no,Ang Lee,R,7.6,Fresh,Upright,10492,96,87,no,no,no,no,yes
Gotti,Drama,116,1996,no,Robert Harmon,R,7.3,Fresh,Upright,4451,60,83,no,no,no,no,no
Strange Brew,Comedy,90,1983,no,Dave Thomas,R,6.8,Fresh,Upright,12269,71,81,no,no,no,no,no
Robocop 2,Action & Adventure,117,1990,no,Irvin Kershner,R,5.7,Rotten,Spilled,60335,32,35,no,no,no,no,no
Riders (Steal),Action & Adventure,83,2002,no,Gerard Pires,R,5.5,Rotten,Spilled,5035,29,34,no,no,no,no,no
Warrior,Drama,140,2011,no,Gavin O'Connor,PG-13,8.2,Certified Fresh,Upright,315051,82,92,no,no,no,no,no
Percy Jackson: Sea of Monsters,Drama,106,2013,no,Thor Freudenthal,PG,5.9,Rotten,Spilled,82737,42,55,no,no,no,no,no
Visioneers,Drama,94,2008,no,Jared Drake,R,6.1,Fresh,Spilled,4944,70,54,no,no,no,no,no
Bats,Drama,91,1999,no,Louis Morneau,R,3.6,Rotten,Spilled,8229,17,14,no,no,no,no,no
The Brother from Another Planet,Drama,108,1984,no,John Sayles,R,6.8,Fresh,Upright,4516,92,76,no,no,no,no,no
Blame It on Rio,Comedy,100,1984,no,Stanley Donen,R,5.7,Rotten,Spilled,7858,9,40,no,no,no,no,no
North Face (Nordwand),Drama,126,2010,no,Philipp Stolzl,Unrated,7.4,Certified Fresh,Upright,10938,84,82,no,no,no,no,no
Predator,Action & Adventure,107,1987,no,Shane Black,R,7.8,Certified Fresh,Upright,279704,78,87,no,no,no,no,no
The Reef,Mystery & Suspense,94,2010,no,Andrew Traucki,R,5.8,Fresh,Spilled,11192,78,41,no,no,no,no,no
Dirty Sanchez: The Movie,Comedy,94,2007,no,Jim Hickey,R,6.2,Rotten,Upright,3851,40,75,no,no,no,no,no
Shakedown,Drama,97,1988,no,James Glickenhaus,R,5.8,Fresh,Spilled,1838,71,43,no,no,no,no,no
The Principal,Drama,109,1987,no,Christopher Cain,R,6.2,Rotten,Spilled,6552,50,52,no,no,no,no,no
A New Life,Drama,104,1988,no,Alan Alda,PG-13,5.7,Rotten,Spilled,390,29,25,no,no,no,no,no
Arlington Road,Mystery & Suspense,117,1999,no,Mark Pellington,R,7.2,Fresh,Upright,68429,62,74,no,no,yes,no,no
Annie Hall,Comedy,93,1977,no,Woody Allen,PG,8.1,Certified Fresh,Upright,182983,98,93,yes,yes,no,yes,yes
Charlie: The Life and Art of Charles Chaplin,Documentary,132,2004,no,Richard Schickel,Unrated,8,Fresh,Upright,1147,95,90,no,no,no,no,no
The Sessions,Drama,95,2012,no,Ben Lewin,R,7.2,Certified Fresh,Upright,35635,93,80,no,no,no,yes,no
Prison,Drama,102,1988,no,Renny Harlin,R,5.9,Rotten,Spilled,2569,40,34,no,no,no,no,no
Kiss of Death,Drama,101,1995,no,Barbet Schroeder,R,5.9,Fresh,Spilled,13980,68,37,no,no,yes,yes,no
Citizen X,Drama,105,1995,no,Chris Gerolmo,R,7.7,Fresh,Upright,11477,86,86,no,no,no,no,no
The Comebacks,Comedy,84,2007,no,Tom Brady,PG-13,4.1,Rotten,Spilled,9853,9,33,no,no,no,no,no
The Other Woman,Drama,102,2011,no,Don Roos,R,6.4,Rotten,Spilled,14970,39,45,no,no,no,yes,no
Pusher III: I'm the Angel of Death,Drama,90,2005,no,Nicolas Winding Refn,R,7.3,Fresh,Upright,9001,92,81,no,no,no,no,no
Two for the Money,Drama,122,2005,no,D.J. Caruso,R,6.2,Rotten,Spilled,35868,22,48,no,no,yes,no,no
Star Trek V - The Final Frontier,Action & Adventure,107,1989,no,William Shatner,PG,5.4,Rotten,Spilled,41767,21,24,no,no,no,no,no
Cop & 1/2,Comedy,97,1993,no,Henry Winkler,PG,3.8,Rotten,Spilled,6954,17,35,no,no,no,no,no
Django Unchained,Other,165,2012,no,Quentin Tarantino,R,8.5,Certified Fresh,Upright,893008,88,91,yes,no,yes,no,no
Cousins,Drama,109,1989,no,Joel Schumacher,PG-13,6.2,Rotten,Upright,3467,50,69,no,no,no,no,no
Spy Game,Drama,126,2001,no,Tony Scott,R,7,Fresh,Upright,117688,66,75,no,no,no,no,no
Held Up,Comedy,89,2000,no,Steve Rash,PG-13,5.1,Rotten,Spilled,2817,17,43,no,no,yes,no,no
Striking Distance,Mystery & Suspense,102,1993,no,Rowdy Herrington,R,5.8,Rotten,Spilled,32751,14,35,no,no,no,no,no
One Night With the King,Drama,123,2006,no,Michael O. Sajbel,PG,6.3,Rotten,Upright,5704,19,78,no,no,no,no,no
Phil Ochs: There But For Fortune,Musical & Performing Arts,96,2011,no,Kenneth Bowser,Unrated,7.6,Fresh,Upright,318,97,78,no,no,no,no,no
Lethal Weapon 4,Action & Adventure,127,1998,no,Richard Donner,R,6.6,Rotten,Upright,123989,52,64,no,no,no,no,no
101 Dalmatians,Action & Adventure,103,1996,yes,Stephen Herek,G,5.6,Rotten,Spilled,70209,38,40,no,no,no,no,no
Bhutto,Documentary,111,2010,no,Duane Baughman,Unrated,7.8,Fresh,Upright,541,86,88,no,no,no,no,no
Deep Impact,Drama,120,1998,no,Mimi Leder,PG-13,6.1,Rotten,Spilled,132215,48,43,no,no,yes,no,no
Shoot 'Em Up,Drama,86,2007,no,Michael Davis,R,6.7,Fresh,Upright,127458,67,65,no,no,no,no,no
The Room,Drama,99,2003,no,Tommy Wiseau,R,3.5,Rotten,Spilled,27769,35,46,no,no,no,no,no
Made of Honor,Comedy,101,2008,no,Paul Weiland,PG-13,5.8,Rotten,Spilled,52635,14,55,no,no,no,no,no
The Longest Yard,Drama,121,1974,no,Robert Aldrich,R,7.1,Fresh,Upright,12819,81,75,no,no,no,no,no
Dirty Love,Comedy,91,2005,no,John Mallory Asher,R,3.5,Rotten,Upright,6054,4,67,no,no,no,no,no
Berberian Sound Studio,Horror,92,2013,no,Peter Strickland,Unrated,6.2,Certified Fresh,Spilled,9367,84,54,no,no,no,no,no
A Good Old Fashioned Orgy,Comedy,95,2011,no,Alex Gregory,R,6.2,Rotten,Spilled,17798,32,41,no,no,no,no,no
May,Drama,93,2003,no,Lucky McKee,R,6.7,Fresh,Upright,26010,69,75,no,no,no,no,no
Any Day Now,Drama,98,2012,no,Travis Fine,R,7.5,Certified Fresh,Upright,4515,79,76,no,no,no,no,no
Africa: The Serengeti,Documentary,39,1994,no,George Casey,Unrated,7.3,Fresh,Upright,535,100,74,no,no,no,no,no
Grosse Pointe Blank,Drama,107,1997,no,George Armitage,R,7.4,Certified Fresh,Upright,71572,79,87,no,no,no,no,no
Jack and Jill,Comedy,91,2011,no,Dennis Dugan,PG,3.4,Rotten,Spilled,57933,3,37,no,no,yes,no,no
Sherman's March,Documentary,157,1986,no,Ross McElwee,Unrated,7.5,Fresh,Upright,1784,100,86,no,no,no,no,no
"The Ninth Configuration (Twinkle, Twinkle, Killer Kane)",Drama,118,1980,no,William Peter Blatty,R,7.2,Fresh,Upright,3883,70,79,no,no,no,no,no
Mr. & Mrs. Bridge,Drama,126,1990,no,James Ivory,PG-13,6.7,Fresh,Spilled,2282,80,42,no,no,yes,yes,no
Space Jam,Comedy,88,1996,no,Joe Pytka,PG,6.3,Rotten,Upright,105745,36,63,no,no,no,no,no
Spring Breakers,Drama,94,2013,no,Harmony Korine,R,5.3,Fresh,Spilled,104457,66,38,no,no,no,no,no
Fantastic Four: Rise of the Silver Surfer,Action & Adventure,92,2007,no,Tim Story,PG,5.6,Rotten,Spilled,205065,37,51,no,no,no,no,no
The Hangover,Comedy,100,2009,yes,Todd Phillips,R,7.8,Certified Fresh,Upright,562136,79,84,no,no,no,no,no
The Shaggy D.A.,Comedy,91,1976,no,Robert Stevenson,G,5.7,Rotten,Spilled,1778,50,44,no,no,no,no,no
Orca - The Killer Whale,Drama,92,1977,no,Michael Anderson,PG,5.6,Rotten,Spilled,7628,15,33,no,no,no,no,no
Tang shan da xiong (Fists of Fury) (The Big Boss),Drama,100,1972,no,Wei Lo,R,7.1,Fresh,Upright,17934,60,74,no,no,no,no,no
The Story Of Luke,Drama,96,2013,no,Alonso Mayo,Unrated,7.3,Fresh,Upright,2502,80,78,no,no,no,no,no
"New York, New York",Drama,155,1977,no,Martin Scorsese,PG,6.7,Fresh,Spilled,13092,67,59,no,no,yes,yes,yes
Barbarosa,Other,90,1982,no,Fred Schepisi,PG,6.6,Fresh,Upright,1010,100,74,no,no,no,no,no
Sinbad and the Eye of the Tiger,Action & Adventure,113,1977,no,Sam Wanamaker,G,6.3,Fresh,Spilled,4687,63,55,no,no,no,no,no
K-19: The Widowmaker,Drama,138,2002,no,Kathryn Bigelow,PG-13,6.6,Fresh,Spilled,48137,60,52,no,no,no,no,yes
What's Eating Gilbert Grape,Drama,118,1993,no,Lasse Hallstrom,PG-13,7.8,Certified Fresh,Upright,164112,89,89,no,no,no,no,no
Of Mice and Men,Drama,115,1992,no,Gary Sinise,PG-13,7.5,Fresh,Upright,30921,96,82,yes,no,no,no,no
In the Name of the King: A Dungeon Siege Tale,Action & Adventure,127,2006,no,Uwe Boll,PG-13,3.8,Rotten,Spilled,37640,4,22,no,no,no,no,no
Hairspray,Musical & Performing Arts,117,2007,no,Adam Shankman,PG,6.8,Certified Fresh,Upright,95327,91,85,no,no,no,no,no
Godzilla,Mystery & Suspense,123,2014,no,Gareth Edwards,PG-13,6.5,Certified Fresh,Upright,289825,74,66,no,no,no,no,no
The Freshman,Drama,102,1990,no,Andrew Bergman,PG,6.5,Certified Fresh,Upright,15525,93,61,no,no,yes,no,no
The Legend of Hercules,Action & Adventure,99,2014,no,Renny Harlin,PG-13,4.2,Rotten,Spilled,43268,3,33,no,no,no,no,no
North Sea Hijack (ffolkes) (Assault Force),Action & Adventure,100,1980,no,Andrew V. McLaglen,PG,6.3,Rotten,Spilled,3153,33,43,no,no,no,no,no
Texasville,Drama,123,1991,no,Peter Bogdanovich,R,6,Rotten,Spilled,1887,55,50,no,no,yes,no,no
My Baby's Daddy,Comedy,86,2004,no,Cheryl Dunye,PG-13,4.5,Rotten,Spilled,3096,4,49,no,no,no,no,no
Clerks II,Drama,97,2006,no,Kevin Smith,R,7.4,Fresh,Upright,112216,63,84,no,no,no,no,no
White House Down,Drama,131,2013,no,Roland Emmerich,PG-13,6.4,Rotten,Upright,154674,51,62,no,no,yes,no,no
Flesh & Blood (Flesh+Blood) (The Rose and the Sword),Drama,126,1985,no,Paul Verhoeven,R,6.7,Fresh,Upright,12535,79,63,no,no,no,no,no
Bastard out of Carolina,Drama,97,1996,no,Anjelica Huston,R,7.4,Fresh,Upright,3363,100,83,no,no,no,no,no
Red Dawn,Action & Adventure,114,1984,no,John Milius,PG-13,6.3,Rotten,Upright,40659,53,65,no,no,no,no,no
Rescue Dawn,Drama,120,2007,no,Werner Herzog,PG-13,7.4,Certified Fresh,Upright,82378,91,74,no,no,no,no,no
The Longshots,Drama,94,2008,no,Fred Durst,PG,5.1,Rotten,Upright,3135,41,61,no,no,no,no,no
Blind Spot: Hitler's Secretary,Documentary,90,2002,no,Andre Heller,PG,7.3,Certified Fresh,Upright,1489,85,70,no,no,no,no,no
U-Turn,Drama,125,1997,no,Oliver Stone,R,6.8,Rotten,Upright,41385,59,62,no,no,yes,no,yes
Something's Gotta Give,Comedy,128,2003,no,Nancy Meyers,PG-13,6.7,Fresh,Upright,88523,71,69,no,no,yes,yes,no
A Boy and His Dog,Drama,91,1975,no,L.Q. Jones,R,6.6,Fresh,Upright,12221,75,63,no,no,no,no,no
Terror Train,Horror,97,1980,no,Roger Spottiswoode,R,5.9,Rotten,Spilled,6304,36,39,no,no,no,no,no
Leatherface: The Texas Chainsaw Massacre III,Horror,85,1990,no,Jeff Burr,R,5.1,Rotten,Spilled,9565,19,32,no,no,no,no,no
Lorenzo's Oil,Drama,129,1992,no,NA,PG-13,7.2,Fresh,Upright,15913,94,79,no,no,no,yes,no
Groundhog Day,Other,101,1993,no,Harold Ramis,PG,8.1,Certified Fresh,Upright,414687,96,87,no,no,no,no,no
Conviction,Drama,107,2010,no,Tony Goldwyn,R,7.2,Fresh,Upright,33720,67,70,no,no,no,no,no
Kicking It,Documentary,98,2008,no,Jeff Werner,Unrated,7.4,Rotten,Upright,325,53,71,no,no,no,no,no
Vampire Hunter D: Bloodlust,Action & Adventure,103,2001,no,Yoshiaki Kawajiri,R,7.8,Fresh,Upright,22245,72,86,no,no,no,no,no
Bounce,Drama,106,2000,no,Don Roos,PG-13,5.7,Rotten,Spilled,17133,52,33,no,no,no,yes,no
A Mighty Heart,Drama,108,2007,no,Michael Winterbottom,R,6.7,Certified Fresh,Upright,23821,79,70,no,no,no,no,no
Santa Sangre,Drama,123,1990,no,Alejandro Jodorowsky,R,7.7,Fresh,Upright,13285,85,87,no,no,no,no,no
Resident Evil,Action & Adventure,100,2002,no,Paul W.S. Anderson,R,6.7,Rotten,Upright,192052,33,68,no,no,no,no,no
Top Gun,Drama,110,1986,yes,Tony Scott,PG,6.9,Rotten,Upright,211129,54,83,no,no,no,no,no
25th Hour,Drama,135,2003,no,Spike Lee,R,7.7,Certified Fresh,Upright,146518,78,85,no,no,yes,no,no
The Bad News Bears in Breaking Training,Comedy,100,1977,no,Michael Pressman,PG,5.4,Rotten,Spilled,2239,50,39,no,no,no,no,no
Streets of Gold,Drama,95,1986,no,Joe Roth,R,6,Rotten,Spilled,486,31,44,no,no,no,no,no
The Mod Squad,Drama,92,1999,no,Scott Silver,R,4.1,Rotten,Spilled,7658,4,17,no,no,no,no,no
Where the Heart Is,Drama,107,1990,no,John Boorman,R,6.1,Rotten,Spilled,1268,11,58,no,no,no,no,no
Battlefield Earth,Action & Adventure,118,2000,no,Roger Christian,PG-13,2.4,Rotten,Spilled,64119,3,11,no,no,yes,no,no
Osmosis Jones,Comedy,95,2001,no,Bill Murray,PG,6.2,Rotten,Spilled,24678,55,41,no,no,no,no,no
Never Cry Wolf,Drama,105,1983,no,Carroll Ballard,PG,7.6,Fresh,Upright,6114,100,85,no,no,no,no,no
A Good Woman,Drama,93,2006,no,Mike Barker,PG,6.5,Rotten,Spilled,9399,37,49,no,no,no,yes,no
Drive,Drama,100,2011,no,Nicolas Winding Refn,R,7.8,Certified Fresh,Upright,414650,92,79,no,no,no,no,no
2 Days in the Valley,Drama,104,1996,no,John Herzfeld,R,6.5,Fresh,Spilled,15291,60,54,no,no,no,yes,no
Married to It,Drama,112,1993,no,Arthur Hiller,R,5.9,Rotten,Spilled,725,33,41,no,no,no,no,no
Pay It Forward,Drama,123,2000,no,Mimi Leder,PG-13,7.1,Rotten,Upright,93331,40,77,no,no,yes,yes,no
Topsy-Turvy,Drama,154,1999,no,Mike Leigh,R,7.4,Certified Fresh,Upright,9876,89,79,no,no,no,no,no
Beyond the Gates,Drama,115,2005,no,Michael Caton-Jones,R,7.7,Certified Fresh,Upright,9525,84,85,no,no,no,no,no
Top Secret!,Comedy,90,1984,no,David Zucker,PG,7.2,Fresh,Upright,44741,76,80,no,no,no,no,no
Gaza Strip,Documentary,74,2002,no,James Longley,Unrated,7.3,Fresh,Upright,285,78,89,no,no,no,no,no
Night and the City,Drama,105,1992,no,Irwin Winkler,R,5.8,Fresh,Spilled,3673,67,31,no,no,yes,yes,no
Lockout (Unrated),Action & Adventure,95,2012,no,Stephen St. Leger,PG-13,6.1,Rotten,Spilled,79970,38,46,no,no,no,no,no
Orwell Rolls in His Grave,Documentary,84,2003,no,Robert Kane Pappas,Unrated,8.1,Fresh,Upright,1058,79,92,no,no,no,no,no
Sunshine Cleaning,Comedy,91,2009,no,Christine Jeffs,R,6.9,Certified Fresh,Upright,60220,72,62,no,no,no,no,no
The Stupids,Comedy,94,1996,no,John Landis,PG,4.1,Rotten,Spilled,5591,21,36,no,no,no,no,no
Better This World,Documentary,82,2011,no,Kelly Duane,Unrated,7.3,Fresh,Upright,340,100,80,no,no,no,no,no
Wimbledon,Drama,98,2004,no,Richard Loncraine,PG-13,6.3,Fresh,Spilled,50340,60,57,no,no,no,no,no
B. Monkey,Drama,92,1999,no,Michael Radford,R,6,Fresh,Spilled,2934,61,55,no,no,no,no,no
Caveman,Action & Adventure,91,1981,no,Carl Gottlieb,PG,5.7,Rotten,Spilled,5564,24,55,no,no,no,no,no
V for Vendetta,Drama,132,2006,no,James McTeigue,R,8.2,Certified Fresh,Upright,753592,73,90,no,no,no,yes,no
One on One,Drama,98,1977,no,Lamont Johnson,PG,6.4,Fresh,Upright,1141,83,75,no,no,no,no,no
Flesh And Bone,Drama,126,1993,no,Steve Kloves,R,6.2,Fresh,Spilled,3967,67,40,no,no,no,yes,no
Mission: Impossible,Mystery & Suspense,110,1996,yes,Brian DePalma,PG-13,7.1,Fresh,Upright,287476,63,71,no,no,yes,no,no
A Time to Kill,Mystery & Suspense,149,1996,no,Joel Schumacher,R,7.4,Fresh,Upright,94983,67,86,no,no,yes,yes,no
The Color of Money,Other,119,1986,no,Martin Scorsese,R,7,Fresh,Upright,56185,90,73,no,no,yes,no,yes
Knightriders,Drama,146,1981,no,George A. Romero,R,6.4,Fresh,Upright,3138,82,61,no,no,no,no,no
The Company You Keep,Mystery & Suspense,125,2013,no,Robert Redford,R,6.4,Rotten,Spilled,25264,55,45,no,no,no,yes,yes
Madea Goes to Jail,Drama,103,2009,no,Tyler Perry,PG-13,4.1,Rotten,Upright,9424,29,70,no,no,no,no,no
